link,latitude,longitude,price_per_square_meter,floor,floors_number,rooms_number,total_square_meters,construction_year,wall_type,housing_comlex_name,bathroom,former_hostel,city_name,street_name
https://krisha.kz/a/show/696783468,43.211374899261,76.793861972402,706336.9397217928,12.0,12.0,2,64.7,0,UNKNOWN,SENSATA CITY,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/698678387,43.261393015994,76.892009727725,607476.6355140187,7.0,12.0,2,53.5,0,UNKNOWN,GUL-ANA,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/684997014,42.383181949215,69.623737334769,436000.0,,,2,58.51,0,UNKNOWN,АТАМУРА,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/685378104,51.127440933242,71.390980481992,480000.00000000006,,,2,47.91,0,UNKNOWN,ECO PARK,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/695289180,51.104566046182,71.399554480031,479208.5035687915,,,3,81.26,0,UNKNOWN,BUQAR JYRAU EXCLUSIVE 2,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/679916899,43.288447548674,76.949766920982,554210.0014247044,,,2,70.19,0,UNKNOWN,JETISU PARK,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/690997474,49.8999266222,82.6244910191,386637.8329160027,,,2,87.86,0,UNKNOWN,ALTYN UIA,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/695240870,42.415234150267,69.626462784637,315000.0,,,4,130.32,0,UNKNOWN,BAQSARAY,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/682920197,51.107421258048,71.534700758994,368500.0,,,2,62.05,0,UNKNOWN,BURABAY-2,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/694463115,43.322931288172,77.017028598277,461996.53379549395,6.0,9.0,1,46.16,0,UNKNOWN,АЛТЫН СИТИ,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/678789191,43.208775176856,76.829192367467,740000.0,3.0,3.0,1,25.0,0,UNKNOWN,PIONEER,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/691418480,51.125912,71.394559,535211.2676056338,2.0,9.0,2,71.0,0,UNKNOWN,SMART CITY,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/697239906,51.098973095013,71.386800449727,639013.4529147982,7.0,9.0,3,89.2,0,UNKNOWN,DASTUR,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/693939156,43.22589514136,76.930727624788,620891.161431702,5.0,12.0,3,136.9,0,UNKNOWN,ЕСЕНТАЙ,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/693940854,43.22589514136,76.930727624788,406611.5702479339,12.0,12.0,3,121.0,0,UNKNOWN,ЕСЕНТАЙ,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/696186614,51.17143442239,71.355689763804,381750.4655493482,7.0,12.0,2,53.7,0,UNKNOWN,RIO DE JANEIRO,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/696261298,49.792951,73.07431,596825.3968253968,2.0,5.0,4,157.5,0,UNKNOWN,NONE,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/697435940,51.147793683703,71.360310630546,410000.0,,,1,39.86,0,UNKNOWN,SANI CITY,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/683926589,51.09723780592,71.382324382546,384170.5084745763,,,2,56.05,0,UNKNOWN,SALMAN CITY,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/697336560,42.326446313432,69.599196064925,910000.0,,,2,68.19,0,UNKNOWN,AVENUE 32,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/682031058,51.091904884888,71.492644708223,300000.0,,,3,92.46,0,UNKNOWN,SAFUAN,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/698852245,47.113072736977,51.929741850513,465000.0,,,3,62.48,0,UNKNOWN,URPAQ,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/698216654,51.105840027492,71.389565064875,486000.0,,,2,61.11,0,UNKNOWN,ARENA STYLE,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/690541508,43.252763617273,76.862965458284,514579.7598627787,13.0,13.0,1,46.64,0,UNKNOWN,NEW LIFE,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/692600576,43.216060389396,76.77672999728,471105.527638191,2.0,5.0,3,79.6,0,UNKNOWN,NONE,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/694383751,43.271402185771,76.951804212606,678191.4893617021,9.0,15.0,1,37.6,0,UNKNOWN,RAMS SAIAHAT,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/698694790,43.212312,76.854987,737903.2258064516,8.0,13.0,3,124.0,0,UNKNOWN,NEST GRAND,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/693322487,43.20923,76.86962,554592.7209705373,2.0,4.0,3,57.7,0,UNKNOWN,NONE,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/687812784,51.088362220065,71.466062664931,413000.0,,,2,52.29,0,UNKNOWN,JETISU.KERBEZ,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/698348458,49.776335196529,73.129402464404,478723.40425531915,9.0,17.0,1,47.0,0,UNKNOWN,DOSTAR APARTMENTS,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/696790203,43.233644710749,76.87577487893,823008.8495575221,9.0,12.0,4,113.0,0,UNKNOWN,JAZZ-КВАРТАЛ,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/694432510,51.129138423793,71.422644548029,408104.95626822155,12.0,33.0,4,171.5,0,UNKNOWN,СЕВЕРНОЕ СИЯНИЕ,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/696258205,43.255682,76.817213,449275.3623188406,6.0,12.0,2,69.0,0,UNKNOWN,NONE,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/692535449,43.317128429502,77.031032065692,700636.9426751593,6.0,12.0,1,31.4,0,UNKNOWN,ASHYQ TOBE,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/695578189,47.111881098682,51.904263003255,653198.5098456626,,,2,75.16,0,UNKNOWN,DUMAN,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/696998368,51.11443277256,71.467147819307,525000.0,,,2,59.32,0,UNKNOWN,QASIET,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/688784500,51.226459617783,51.364980309955,296788.19444444444,,,3,115.2,0,UNKNOWN,ОРТАЛЫК,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/689193285,51.08497181287,71.419043540736,544000.0,,,4,134.3,0,UNKNOWN,NEXPO TREND,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/690997643,49.899718721665,82.624458832592,384664.94845360826,,,1,62.08,0,UNKNOWN,ALTYN UIA,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/696164472,51.10730763511,71.393738019211,477999.99999999994,,,2,55.59,0,UNKNOWN,ARENA UNITY,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/695111439,51.106191411736,71.44382700958,521000.0,,,2,72.08,0,UNKNOWN,NOHO,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/675464851,51.098980460999,71.429311021204,578635.0148367952,3.0,8.0,2,67.4,0,UNKNOWN,AQ-TAY,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/698348470,49.779009,73.156946,438888.8888888889,1.0,6.0,3,90.0,0,UNKNOWN,NONE,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/685396320,51.170661,71.383878,411764.70588235295,7.0,10.0,2,51.0,0,UNKNOWN,NONE,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/696875261,43.188031447558,76.850306723143,655318.6813186813,2.0,3.0,2,63.7,0,UNKNOWN,ELET,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/696484744,43.24086350892,76.871261141824,853485.0640113798,16.0,21.0,2,70.3,0,UNKNOWN,LAKE TOWN,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/680419851,54.89982477192,69.141492162554,339999.99999999994,,,3,71.54,0,UNKNOWN,УАЛИХАНОВ,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/690475652,51.118435932743,71.506530046354,484999.99999999994,,,3,84.79,0,UNKNOWN,ЦЕНТРАЛЬНЫЙ СКВЕР,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/51613650,43.248419526169,76.979808334327,1400862.0689655172,,,1,46.4,0,UNKNOWN,KOKTOBE CITY,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/682382278,42.376174304536,69.607661445904,468000.0,,,3,99.7,0,UNKNOWN,DENDROPARK,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/684991187,47.110600011942,51.90486073483,615000.0,,,4,137.51,0,UNKNOWN,ALTYN ZAMAN,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/697498566,43.212331,76.864662,564885.4961832061,2.0,4.0,3,65.5,0,UNKNOWN,NONE,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/698288770,51.129172998515,71.368356564779,462264.1509433962,6.0,9.0,2,53.0,0,UNKNOWN,ЭКОДОМ,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/698801684,43.217003,76.867123,508064.51612903224,3.0,4.0,3,62.0,0,UNKNOWN,NONE,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/698383323,43.313180983591,76.896672248622,441093.96914446005,9.0,10.0,3,71.3,0,UNKNOWN,OZHET PLUS,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/690121512,51.095325506393,71.392289371224,465500.00000000006,,,1,43.8,0,UNKNOWN,RAUDA,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/698703508,47.130368484719,51.939565365031,291666.6666666667,9.0,9.0,4,120.0,0,UNKNOWN,NONE,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/693457729,43.237463238691,76.8835295397,750537.6344086021,11.0,16.0,2,93.0,0,UNKNOWN,ГАУХАРТАС,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/697910782,51.100184,71.431795,833333.3333333334,8.0,9.0,4,126.0,0,UNKNOWN,GLORIA,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/698766212,51.114230686551,71.460429181866,800000.0,,,4,144.4,0,UNKNOWN,SALZBURG,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/689288592,51.081521600395,71.419724974408,513000.0,,,3,109.38,0,UNKNOWN,TUMAR RESIDENCE,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/694710364,51.133775423971,71.418208542627,670000.0,,,1,72.8,0,UNKNOWN,ATLANT UNIQUE,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/677332107,43.197167478047,76.869030139641,760000.0,,,3,101.36,0,UNKNOWN,APPLE RESIDENCE,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/698493401,43.20718,76.787101,538461.5384615385,4.0,10.0,2,65.0,0,UNKNOWN,NONE,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/698949011,50.269981,57.154672,259090.9090909091,4.0,5.0,3,110.0,0,UNKNOWN,NONE,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/698830455,51.104978120771,71.394932033094,642857.1428571428,8.0,9.0,1,42.0,0,UNKNOWN,СЕРДЦЕ СТОЛИЦЫ,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/698366011,52.923527,70.186864,279503.1055900621,3.0,5.0,4,80.5,0,UNKNOWN,NONE,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/696592179,50.265766,57.148662,438871.473354232,2.0,9.0,2,63.8,0,UNKNOWN,NONE,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/695289166,51.104566046182,71.399554480031,523942.09048361937,,,1,32.05,0,UNKNOWN,BUQAR JYRAU EXCLUSIVE 2,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/683926590,51.097280060774,71.382563968333,441123.0035431998,,,1,36.69,0,UNKNOWN,SALMAN CITY,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/697710422,43.183944594647,76.924166679382,730000.0,,,1,48.13,0,UNKNOWN,NOBLE HOUSE,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/684993724,51.159370186012,71.405506721931,409090.9090909091,6.0,13.0,3,110.0,0,UNKNOWN,САНА,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/698232705,43.244217589072,76.87612930463,445054.94505494507,20.0,21.0,3,91.0,0,UNKNOWN,МАНХЕТТЕН (29 КВАРТАЛ),НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/697180316,42.332835323484,69.598892957541,697674.4186046511,5.0,10.0,2,86.0,0,UNKNOWN,KHANZADA,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/698880673,43.212831843496,76.871344053117,685714.2857142857,4.0,17.0,2,70.0,0,UNKNOWN,ЖАНДОСОВА,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/685607038,43.314392870365,76.896888141299,563063.0630630631,2.0,5.0,1,44.4,0,UNKNOWN,СЕВЕРНЫЙ,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/693103235,43.204519,76.912623,973053.8922155689,6.0,10.0,2,66.8,0,UNKNOWN,AQTOLQYN GRAND,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/698752637,50.279735610951,57.144025908103,400000.0,4.0,5.0,4,125.0,0,UNKNOWN,САУЛЕТ КУРЫЛЫС,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/693301140,43.231096989712,76.832493562958,709090.9090909091,10.0,10.0,3,55.0,0,UNKNOWN,УШ СУНКАР,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/698906207,42.360894765772,69.654384058891,448275.8620689655,5.0,9.0,2,58.0,0,UNKNOWN,NONE,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/691957653,51.738627,75.327707,192743.7641723356,1.0,2.0,3,88.2,0,UNKNOWN,NONE,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/696823395,50.276114591986,57.17105623006,442857.14285714284,6.0,9.0,2,70.0,0,UNKNOWN,АЛЬТАИР,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/695917759,51.123119347608,71.263290511172,334448.1605351171,3.0,3.0,2,59.8,0,UNKNOWN,NONE,НЕТ,False,UNKNOWN,UNKNOWN
https://krisha.kz/a/show/698804621,51.114056043587,71.49148650925,597014.6766169154,7.0,12.0,1,40.2,0,UNKNOWN,QOBYZ,НЕТ,False,UNKNOWN,UNKNOWN
